Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
Towards Drylands Biorefineries: Valorisation of Forage Opuntia for the Production of Edible Coatings,"Iris Najera-Garcia, Alba; Eduardo Lopez-Hernandez, Raul; Alexander Lucho-Constantino, Carlos; Vazquez-Rodriguez, Gabriela A.",,,,SUSTAINABILITY,JUN 2018,2018,10,6,,,,,,1878,10.3390/su10061878,,,0,0,0,0,0,0,0,0
Effect of flower orientation on the male and female traits of Myrtillocactus geometrizans (Cactaceae),"Aguilar-Garcia, S. A.; Figueroa-Castro, D. M.; Valverde, P. L.; Vite, F.",,,,PLANT BIOLOGY,MAY 2018,2018,20,3,,,,531,536,,10.1111/plb.12713,,,0,0,0,0,0,0,0,0
"Differential germination associated with facultative vivipary in Stenocereus thurberi (Cactaceae): climatic correlations in marginal populations in Sinaloa, Mexico","Casillas-Alvarez, Pedro; Reyes-Olivas, Alvaro; Heleodoro Sanchez-Soto, Bardo; Garcia-Moya, Edmundo; Antonio Lugo-Garcia, Gabriel; Marcos Soto-Hernandez, Ramon",,,,ACTA BOTANICA MEXICANA,APR 2018,2018,123,,,,,51,66,,10.21829/abm123.2018.1250,,,0,0,0,0,0,0,0,0
"Physical and physicochemical characteristics, bioactive compounds and antioxidant activity of xiquexique (Pilosocereus gounellei (A. Weber ex K. Schum.)) fruit","da Silva, Antonia Almeida; Dantas, Renato Lima; Veras, Claudiana dos Santos; Alves, Ricardo Elesbao; Silva, Silvanda de Melo",,,,SEMINA-CIENCIAS AGRARIAS,2018,2018,39,5,,,,1969,1980,,10.5433/1679-0359.2018v39n5p1969,,,0,0,0,0,0,0,0,0
Fruit production from Opuntia ficus-indica ecotypes in comparison to commercial Italian clones,"Gaspar Reis, Carlos Manuel; Gazarini, Luiz Carlos; Ribeiro, Maria Margarida",,,,HORTICULTURAL SCIENCE,2018,2018,45,2,,,,92,100,,10.17221/48/2017-HORTSCI,,,0,0,0,0,0,0,0,0
Morphological plasticity of an endemic widespread columnar cactus and its congener,"Arroyo-Cosultchi, Gabriel; Arias, Salvador; Lopez-Mata, Lauro; Terrazas, Teresa",,,,BRAZILIAN JOURNAL OF BOTANY,DEC 2017,2017,40,4,,,,1029,1040,,10.1007/s40415-017-0399-7,,,0,0,0,0,0,0,0,0
Improvement of lactic acid bacteria viability in acid conditions employing agroindustrial co-products as prebiotic on alginate ionotropic gel matrix co-encapsulation,"Serrano-Casas, Victor; Lourdes Perez-Chabela, M.; Cortes-Barberena, Edith; Totosaus, Afonso",,,,JOURNAL OF FUNCTIONAL FOODS,NOV 2017,2017,38,,A,,,293,297,,10.1016/j.jff.2017.09.048,,,0,0,0,0,0,0,0,0
Ecosystem-scale impacts of non-timber forest product harvesting: effects on soil nutrients,"Ruwanza, Sheunesu; Shackleton, Charlie M.",,,,JOURNAL OF APPLIED ECOLOGY,OCT 2017,2017,54,5,,,,1515,1525,,10.1111/1365-2664.12891,,,0,0,0,0,0,0,0,0
Effects of nitrogen and phosphorus fertilization on fruit yield and quality of cactus pear Opuntia ficus-indica (L.) Mill,"Arba, M.; Falisse, A.; Choukr-Allah, R.; Sindic, M.",,,,FRUITS,JUL-AUG 2017,2017,72,4,,,,212,220,,10.17660/th2017/72.4.3,,,0,0,0,0,0,0,0,0
"Shade, reproductive effort and growth of the endangered native cactus, Opuntia humifusa Raf. in Point Pelee National Park, Canada","Drezner, Taly Dawn",,,,JOURNAL OF THE TORREY BOTANICAL SOCIETY,APR 2017,2017,144,2,,,,179,190,,10.3159/TORREY-D-16-00027R1,,,0,0,0,0,0,0,0,0
"Fruit number and weight depend on length, width and thickness of fruiting cladode in Opuntia albicarpa Scheinvar variety 'Cristalina'","Blanco-Macias, Fidel; de Jesus Mendez-Gallegos, Santiago; Magallanes-Quintanar, Rafael; Marquez-Madrid, Miguel; Villarreal-Guerrero, Federico; Andres Lopez-Santiago, Marco; David Valdez-Cepeda, Ricardo",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2017,2017,19,,,,,79,89,,,,,0,0,0,0,0,0,0,0
Protective role of epiphytic fluorescent Pseudomonas on natural postharvest decay of tomato at room temperature,"Habiba, Shah; Noreen, Rubina; Ali, Syed Abid; Hasan, Khwaja Ali; Ara, Jehan; Sultana, Viqar; Ehteshamul-Haque, Syed",,,,JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,2017,2017,90,,,,,288,297,,10.5073/JABFQ.2017.090.036,,,0,0,0,0,0,0,0,0
REPEATABILITY OF FRUIT QUALITY TRAITSOF CACTUS PEAR,"Nunes, Valtania Xavier; Nunes, Nubia Xavier; De Oliveira, Carlinne Guimaraes; Soares Sobral, Raquel Rodrigues; Magalhaes Dos Santos, Carlos Eduardo",,,,REVISTA BRASILEIRA DE FRUTICULTURA,2017,2017,39,5,,,,1,8,,10.1590/0100-29452017481,,,0,0,0,0,0,0,0,0
Morphological variation in Opuntia jaliscana (Cactaceae),"Noel Lopez-Borja, Edgar; de Lourdes Romo-Campos, Rosa; Julieta Arreola-Nava, Hilda; Munoz Urias, Alejandro; Loza-Cornejo, Sofia",,,,ANALES DEL JARDIN BOTANICO DE MADRID,2017,2017,74,1,,,,,,UNSP e058,10.3989/ajbm.2431,,,0,0,0,0,0,0,0,0
Social networks in the Little Scrub Island ground lizard (Ameiva corax),"Eifler, Douglas; Eifler, Maria; Malela, Keoleboge; Childers, Jackie",,,,JOURNAL OF ETHOLOGY,SEP 2016,2016,34,3,,,,343,348,,10.1007/s10164-016-0481-9,,,0,0,0,0,0,0,0,0
"In an arid urban matrix, fragment size predicts access to frugivory and rain necessary for plant population persistence","Ness, J. H.; Pfeffer, M.; Stark, J.; Guest, A.; Combs, L. J.; Nathan, E.",,,,ECOSPHERE,JUN 2016,2016,7,6,,,,,,UNSP e01284,10.1002/ecs2.1284,,,0,0,0,0,0,0,0,0
